n_samples,Distribution,Algorithm,Accuracy,Precision,Recall,F1 Score,Time
5000,blobs,IQR,0.8454,0.20114285714285715,0.704,0.3128888888888889,0.0815
5000,moons,KMeans,0.974,0.74,0.74,0.74,3.6320
5000,moons,DBSCAN,0.9972,0.9916666666666667,0.952,0.9714285714285714,0.0344
5000,moons,Isolation Forest,0.9828,0.828,0.828,0.828,0.2720
5000,moons,Z-Score,0.9824,1.0,0.648,0.7864077669902912,0.0010
5000,moons,IQR,0.977,1.0,0.54,0.7012987012987013,0.0790
5000,circles,KMeans,0.966,0.66,0.66,0.66,3.5839
5000,circles,DBSCAN,0.992,0.9565217391304348,0.88,0.9166666666666666,0.0320
5000,circles,Isolation Forest,0.9804,0.804,0.804,0.804,0.2989
5000,circles,Z-Score,0.981,1.0,0.62,0.7654320987654321,0.0010
5000,circles,IQR,0.968,1.0,0.36,0.5294117647058824,0.0766
5500,normal,KMeans,0.9690909090909091,0.6909090909090909,0.6909090909090909,0.6909090909090909,4.3107
5500,normal,DBSCAN,0.9798181818181818,0.7715231788079471,0.8472727272727273,0.8076256499133448,0.0471
5500,normal,Isolation Forest,0.9821818181818182,0.8218181818181818,0.8218181818181818,0.8218181818181818,0.2689
5500,normal,Z-Score,0.9745454545454545,0.7076923076923077,0.8363636363636363,0.7666666666666667,0.0010
5500,normal,IQR,0.9294545454545454,0.40930979133226325,0.9272727272727272,0.5679287305122495,0.0885
5500,blobs,KMeans,0.978909090909091,0.7890909090909091,0.7890909090909091,0.7890909090909091,4.3228
5500,blobs,DBSCAN,0.9870909090909091,0.8805970149253731,0.8581818181818182,0.8692449355432781,0.0468
5500,blobs,Isolation Forest,0.9807272727272728,0.8072727272727273,0.8072727272727273,0.8072727272727273,0.3080
5500,blobs,Z-Score,0.9850909090909091,0.9898477157360406,0.7090909090909091,0.826271186440678,0.0010
5500,blobs,IQR,0.9725454545454545,1.0,0.4509090909090909,0.6215538847117794,0.0865
5500,moons,KMeans,0.9734545454545455,0.7345454545454545,0.7345454545454545,0.7345454545454545,4.2714
5500,moons,DBSCAN,0.9978181818181818,0.9816849816849816,0.9745454545454545,0.9781021897810219,0.0396
5500,moons,Isolation Forest,0.9785454545454545,0.7854545454545454,0.7854545454545454,0.7854545454545454,0.2961
5500,moons,Z-Score,0.9810909090909091,1.0,0.6218181818181818,0.7668161434977578,0.0010
5500,moons,IQR,0.9743636363636363,1.0,0.48727272727272725,0.6552567237163814,0.0871
5500,circles,KMeans,0.9716363636363636,0.7163636363636363,0.7163636363636363,0.7163636363636363,4.3423
5500,circles,DBSCAN,0.9892727272727273,0.9736842105263158,0.8072727272727273,0.882703777335984,0.0464
5500,circles,Isolation Forest,0.9810909090909091,0.8109090909090909,0.8109090909090909,0.8109090909090909,0.6923
5500,circles,Z-Score,0.9876363636363636,1.0,0.7527272727272727,0.8589211618257261,0.0010
5500,circles,IQR,0.7958181818181819,0.17334360554699538,0.8181818181818182,0.28607755880483154,0.0918
6000,normal,KMeans,0.974,0.74,0.74,0.74,5.1950
6000,normal,DBSCAN,0.9743333333333334,0.689119170984456,0.8866666666666667,0.7755102040816326,0.0505
6000,normal,Isolation Forest,0.986,0.86,0.86,0.86,0.2792
6000,normal,Z-Score,0.9806666666666667,0.7839506172839507,0.8466666666666667,0.8141025641025641,0.0010
6000,normal,IQR,0.9333333333333333,0.42260061919504643,0.91,0.5771670190274841,0.1012
6000,blobs,KMeans,0.989,0.89,0.89,0.89,5.2256
6000,blobs,DBSCAN,0.9905,0.8761609907120743,0.9433333333333334,0.9085072231139647,0.0510
6000,blobs,Isolation Forest,0.988,0.88,0.88,0.88,0.2863
6000,blobs,Z-Score,0.9803333333333333,1.0,0.6066666666666667,0.7551867219917012,0.0010
6000,blobs,IQR,0.7898333333333334,0.13515565679574792,0.5933333333333334,0.22016079158936303,0.1021
6000,moons,KMeans,0.978,0.78,0.78,0.78,5.2335
6000,moons,DBSCAN,0.9936666666666667,0.9425675675675675,0.93,0.9362416107382551,0.0417
6000,moons,Isolation Forest,0.9843333333333333,0.8433333333333334,0.8433333333333334,0.8433333333333334,0.2873
6000,moons,Z-Score,0.9853333333333333,1.0,0.7066666666666667,0.828125,0.0010
6000,moons,IQR,0.9828333333333333,1.0,0.6566666666666666,0.7927565392354124,0.0921
6000,circles,KMeans,0.9613333333333334,0.6133333333333333,0.6133333333333333,0.6133333333333333,5.3645
6000,circles,DBSCAN,0.9955,0.9627118644067797,0.9466666666666667,0.9546218487394958,0.0377
6000,circles,Isolation Forest,0.9733333333333334,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.2878
6000,circles,Z-Score,0.9816666666666667,1.0,0.6333333333333333,0.7755102040816326,0.0010
6000,circles,IQR,0.9806666666666667,1.0,0.6133333333333333,0.7603305785123967,0.0923
6500,normal,KMeans,0.9713846153846154,0.7138461538461538,0.7138461538461538,0.7138461538461538,6.3359
6500,normal,DBSCAN,0.9870769230769231,0.903010033444816,0.8307692307692308,0.8653846153846154,0.0720
6500,normal,Isolation Forest,0.9846153846153847,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.3047
6500,normal,Z-Score,0.9798461538461538,0.760752688172043,0.8707692307692307,0.812051649928264,0.0013
6500,normal,IQR,0.9306153846153846,0.4125,0.9138461538461539,0.5684210526315789,0.0989
6500,blobs,KMeans,0.9796923076923076,0.796923076923077,0.796923076923077,0.796923076923077,6.2045
